title,distance_to_motorway_m,distance_to_aroad_or_motorway_m,distance_to_broad_or_aroad_or_motorway_m,distance_to_public_road_m,distance_to_major_river_m,distance_to_secondary_river_m,distance_to_watercourse_m,distance_to_railway_m,distance_to_woodland_m,distance_to_offroad_cyclepath_m,distance_to_large_greenspace_m,distance_to_medium_greenspace_m,distance_to_small_greenspace_m
905 10,1506,32,32,29,5726,2219,11,367,198,11,1536,195,81
905 11,1268,126,126,42,5717,2299,78,476,433,110,1650,188,4
905 12,1419,38,38,38,5784,2344,94,301,260,26,1471,264,79
906 1,1951,12,12,12,5401,1668,114,22,223,0,1209,291,177
906 2,1832,22,22,22,5531,1845,97,191,155,0,1284,156,133
906 3,2008,8,8,8,5244,1514,180,110,380,102,1177,400,331
906 4,2019,263,263,79,5285,1857,2,273,81,237,1081,257,0
906 5,1806,97,97,9,5378,1728,196,57,298,70,1337,170,170
906 6,1944,254,254,120,5340,1939,0,336,98,228,1157,334,14
906 7,1729,11,11,11,5509,1875,199,203,256,0,1390,53,53
906 8,1850,161,161,136,5447,1953,6,321,118,136,1249,237,36
906 9,1930,147,147,86,5401,1859,20,236,25,120,1173,275,24
906 10,2286,135,135,0,5123,1546,156,9,199,250,833,58,58
906 11,2107,46,46,39,5208,1431,122,183,433,85,1135,478,382
906 12,2136,58,58,58,5340,1564,213,26,267,32,1031,276,220
907 1,2581,347,347,23,5159,1118,139,474,686,130,796,549,181
907 2,2447,259,259,41,5180,1193,36,393,617,27,894,489,227
907 3,2170,92,92,10,5195,1380,93,224,467,91,1118,468,417
907 4,2526,102,102,24,5020,1260,51,237,420,66,682,312,312
907 5,2254,191,191,39,5128,1279,3,321,562,14,1053,518,353
907 6,2305,23,23,14,5173,1481,229,75,300,147,857,174,174
907 7,2500,160,160,45,5097,1258,8,289,495,17,747,360,360
907 8,2339,250,250,11,5115,1213,15,379,619,4,1022,529,273
907 9,2397,349,349,17,5051,1113,111,477,645,100,948,604,173
907 10,2526,258,258,23,5148,1207,52,384,601,43,786,460,259
907 11,2718,334,334,16,4976,1032,165,475,643,172,613,555,330
907 12,2411,435,435,13,4992,1022,200,567,566,190,867,679,87
908 1,2635,675,675,85,4966,797,314,666,471,462,759,759,161
908 2,2493,617,617,67,4910,836,236,751,445,383,727,727,9
908 3,2566,857,857,49,4792,614,200,517,301,399,582,582,155
908 4,2557,700,700,141,4896,765,235,670,406,471,694,694,92
908 5,2645,585,585,86,5034,883,366,714,545,375,811,785,143
908 6,2483,729,729,92,4823,724,156,667,341,493,627,627,34
908 7,2913,755,755,16,4891,618,178,477,601,470,684,662,457
908 8,2774,820,820,28,4939,619,119,472,493,429,758,667,344
908 9,2631,773,773,37,4895,701,241,573,401,471,684,684,189
908 10,2724,473,473,1,5050,968,292,608,675,283,703,680,219
908 11,2479,518,518,16,4970,934,292,652,522,282,808,741,0
908 12,2999,755,755,37,4806,560,229,445,625,448,625,625,455
909 1,2871,1249,1249,13,4644,184,116,27,116,165,716,232,57
909 2,2851,922,922,21,4895,509,10,345,427,353,773,537,376
909 3,2830,1217,1217,45,4536,76,17,36,18,59,680,187,0
909 4,2712,1219,1219,16,4581,244,99,117,164,61,560,344,179
909 5,3117,1123,1123,60,4789,100,7,52,319,21,961,117,0
909 6,2865,1133,1133,21,4733,299,127,140,221,215,721,338,170
909 7,2934,1183,1183,91,4628,120,120,38,128,91,781,139,15
909 8,2587,1009,1009,11,4688,473,120,367,261,245,507,476,142
909 9,2984,878,878,16,4841,484,150,336,503,331,733,521,351
909 10,2915,1047,1047,24,4832,382,129,206,319,217,790,396,240
909 11,3062,991,991,22,4786,358,221,206,444,207,790,390,220
909 12,3196,1114,1114,97,4715,90,25,43,408,72,976,119,0
910 1,3130,667,667,50,4629,338,338,512,589,270,1241,206,206
910 2,2997,824,824,36,4418,237,237,420,373,222,980,88,83
910 3,3005,956,956,170,4495,96,96,279,250,81,894,0,0
910 4,3123,1006,1006,193,4687,7,7,182,310,0,977,0,0
910 5,3297,887,887,232,4682,105,105,273,485,84,1152,22,22
910 6,3152,858,858,118,4584,167,167,342,382,152,1038,45,45
910 7,3115,764,764,41,4575,257,257,432,471,242,1120,133,133
910 8,3070,957,957,200,4575,76,76,253,282,62,943,0,0
910 9,2890,844,844,61,4286,285,285,441,371,160,901,129,37
910 10,2942,1085,1085,161,4543,5,5,151,141,0,805,48,0
910 11,2899,955,955,88,4364,165,165,319,250,93,825,35,0
910 12,3206,908,908,210,4694,98,98,272,402,83,1068,0,0
911 1,2522,204,204,26,4129,891,412,202,739,705,1480,733,429
911 2,2748,417,417,63,4296,646,626,415,781,595,1329,496,431
911 3,2611,180,180,27,4234,886,389,179,829,607,1534,736,404
911 4,2690,295,295,44,4278,766,505,294,902,668,1439,618,519
911 5,2753,244,244,13,4365,797,455,243,953,573,1520,667,481
911 6,2942,616,616,21,4438,426,426,602,585,412,1190,302,285
911 7,3002,438,438,29,4568,568,568,438,792,379,1419,436,436
911 8,2913,531,531,38,4438,507,507,531,670,464,1271,386,367
911 9,2765,151,151,14,4411,878,361,150,990,467,1625,747,405
911 10,2645,341,341,25,4211,738,551,340,863,661,1370,582,479
911 11,2856,595,595,0,4349,466,466,593,602,429,1173,316,277
911 12,3058,571,571,8,4584,438,438,572,665,317,1303,306,306
912 1,2374,234,234,131,4134,1336,26,236,695,433,1933,1184,10
912 2,2605,50,50,26,4314,1117,135,51,864,393,1804,985,161
912 3,2501,153,153,19,4125,940,361,151,718,676,1529,782,378
912 4,2679,117,117,9,4330,927,328,116,904,493,1628,793,351
912 5,2505,36,36,36,4205,1126,148,37,756,500,1758,977,163
912 6,2538,263,263,6,4313,1328,53,265,875,276,2005,1197,52
912 7,2763,95,95,18,4427,928,303,95,995,412,1684,796,361
912 8,2287,212,212,110,4036,1339,4,215,595,524,1894,1182,109
912 9,2659,97,97,7,4386,1148,90,97,935,309,1872,1016,162
912 10,2572,173,173,31,4319,1237,12,175,871,330,1922,1107,61
912 11,2468,225,225,37,4228,1306,15,226,786,366,1945,1163,0
912 12,2406,77,77,41,4114,1186,106,79,663,544,1776,1033,127
913 1,2373,196,196,57,4287,1808,529,661,1010,49,2448,1676,312
913 2,2180,408,408,29,4016,1607,261,483,663,400,2125,1452,156
913 3,2180,347,347,19,3972,1491,127,353,570,507,2001,1333,180
913 4,2448,329,329,27,4241,1407,119,330,817,295,2048,1267,0
913 5,2539,415,415,21,4361,1468,205,416,951,152,2162,1336,58
913 6,2099,406,406,24,3927,1613,222,465,581,479,2060,1455,238
913 7,2306,294,294,110,4083,1406,86,296,657,442,1981,1253,65
913 8,2161,317,317,18,4026,1696,351,575,719,339,2202,1542,205
913 9,2130,237,237,15,4020,1776,423,653,760,305,2258,1622,275
913 10,2315,448,448,15,4142,1546,240,450,759,317,2141,1397,25
913 11,2262,121,121,9,4193,1887,589,589,971,97,2463,1743,363
913 12,2470,362,362,14,4341,1638,371,582,985,89,2312,1506,180
914 1,2291,87,87,56,4232,1917,577,557,1021,49,2513,1777,400
914 2,2002,20,20,14,3969,2058,572,407,917,228,2439,1902,552
914 3,2252,327,327,24,4004,2358,139,113,1203,162,2875,2221,722
914 4,2141,176,176,23,4062,2206,341,269,1149,0,2670,2058,681
914 5,2139,297,297,0,3968,2327,240,149,1174,62,2775,2179,801
914 6,2365,74,74,74,4311,1928,554,538,1094,2,2570,1796,434
914 7,2341,166,166,39,4180,2188,291,276,1279,138,2789,2057,692
914 8,2307,244,244,48,4102,2268,215,198,1301,154,2834,2136,698
914 9,2082,13,13,13,4049,2046,530,430,964,166,2483,1893,526
914 10,2246,56,56,13,4206,2087,413,388,1123,0,2634,1946,567
914 11,1917,315,315,12,3835,2358,398,108,1072,65,2667,2203,849
914 12,2061,183,183,16,4015,2216,387,260,1104,51,2627,2063,693
915 1,2311,405,405,60,3983,2403,52,36,1182,202,2974,2297,648
915 2,1965,541,541,49,3681,2576,192,76,889,49,2893,2422,751
915 3,1856,383,383,0,3750,2431,324,30,992,0,2697,2274,785
915 4,2293,564,564,13,3850,2551,85,89,1055,230,3011,2457,663
915 5,1869,614,614,18,3567,2658,100,166,782,4,2912,2503,631
915 6,2294,522,522,18,3725,2697,0,249,946,345,2851,2617,701
915 7,1957,641,641,65,3595,2676,93,176,798,92,2977,2522,686
915 8,2036,384,384,0,3845,2416,281,60,1056,23,2791,2264,892
915 9,2124,478,478,33,3545,2847,58,340,755,319,2782,2700,744
915 10,1814,675,675,32,3464,2751,4,263,680,0,2845,2594,533
915 11,2129,427,427,10,3861,2457,175,19,1062,20,2883,2309,828
915 12,2034,531,531,20,3519,2816,14,311,720,226,2831,2665,684
916 1,2143,87,87,35,3211,3211,256,503,528,489,2385,2385,562
916 2,1983,50,50,22,3013,3013,155,530,331,353,2331,2331,355
916 3,2238,26,26,21,3236,3221,204,406,608,418,2326,2326,633
916 4,2234,209,209,9,3404,3050,322,464,688,479,2518,2518,724
916 5,2214,126,126,0,3308,3155,304,463,622,475,2426,2426,659
916 6,2227,305,305,10,3483,2956,224,492,736,475,2616,2616,763
916 7,2088,335,335,21,3391,3006,210,500,617,350,2635,2635,633
916 8,1969,188,188,12,3139,3139,272,647,384,320,2470,2470,419
916 9,1889,65,65,22,2937,2937,69,572,230,253,2346,2346,254
916 10,1888,296,296,9,3173,3127,314,630,380,217,2577,2577,391
916 11,2070,203,203,8,3253,3156,354,607,509,390,2497,2497,544
916 12,2144,235,235,26,3349,3081,307,550,608,432,2536,2536,640
917 1,2218,125,125,13,3032,3032,18,295,548,317,2135,2135,538
917 2,1972,244,244,26,2669,2669,119,280,402,178,2020,2020,314
917 3,2252,336,336,21,2838,2838,170,119,612,247,1920,1920,557
917 4,2142,412,412,35,2676,2676,117,84,603,325,1843,1843,522
917 5,2062,175,175,16,2822,2822,38,307,410,307,2079,2079,361
917 6,1931,113,113,34,2756,2756,68,398,292,184,2147,2147,231
917 7,2006,62,62,58,2889,2889,17,414,336,301,2193,2193,318
917 8,2319,209,209,20,3039,3039,20,194,648,211,2056,2056,629
917 9,2331,142,142,22,3121,3121,37,237,664,248,2127,2127,658
917 10,2053,249,249,19,2732,2732,126,250,440,261,2007,2007,368
917 11,1883,15,15,15,2877,2877,12,535,213,214,2298,2298,216
917 12,1982,15,15,13,2975,2975,119,504,320,331,2296,2296,332
918 1,2432,675,426,17,2733,2733,211,195,832,298,1585,1585,577
918 2,2487,996,370,10,2509,2509,2,473,850,47,1259,1259,503
918 3,2384,900,472,15,2484,2484,103,364,747,116,1355,1355,593
918 4,2084,823,701,17,2216,2216,33,221,455,38,1457,1457,871
918 5,2103,740,697,18,2344,2344,79,143,468,37,1542,1542,769
918 6,2438,794,422,21,2637,2637,180,296,814,251,1462,1462,536
918 7,2023,610,590,29,2394,2394,172,11,407,136,1676,1676,635
918 8,2006,723,623,6,2233,2233,0,121,371,52,1557,1557,777
918 9,2164,594,594,40,2538,2538,50,48,564,237,1664,1664,664
918 10,2336,570,518,17,2726,2726,117,78,759,267,1686,1686,696
918 11,2236,536,536,40,2658,2658,22,21,663,338,1718,1718,655
918 12,1980,497,497,27,2460,2460,162,67,404,130,1787,1787,523
919 1,2180,1255,702,29,1885,1885,504,623,798,24,1082,1082,670
919 2,2476,1228,420,90,2188,2188,335,737,876,261,942,942,607
919 3,2119,1162,646,36,1892,1892,450,529,704,38,1173,1173,764
919 4,2305,1064,565,17,2236,2236,124,463,694,109,1218,1218,754
919 5,2206,1181,690,68,1976,1976,397,564,737,26,1124,1124,727
919 6,2339,1216,550,68,2113,2113,306,613,801,158,1065,1065,701
919 7,2214,997,657,26,2179,2179,145,395,607,17,1283,1283,838
919 8,2421,1211,464,134,2221,2221,226,616,832,225,1065,1065,721
919 9,2300,1133,585,19,2136,2136,240,530,726,105,1147,1147,786
919 10,2252,943,608,30,2298,2298,24,354,622,84,1332,1332,755
919 11,2476,1170,397,64,2327,2327,143,605,862,149,1089,1089,620
919 12,2494,1024,364,18,2490,2490,0,498,858,18,1230,1230,506
920 1,2600,982,539,72,1888,1888,30,1176,288,45,476,476,80
920 2,2585,1133,377,9,2126,2126,293,954,661,204,723,723,387
920 3,2554,1052,517,62,1904,1904,43,1145,383,32,566,566,151
920 4,2510,1117,513,35,1919,1919,111,1062,468,0,649,649,230
920 5,2240,1339,695,27,1888,1888,465,709,803,11,999,999,584
920 6,2357,1263,651,58,1809,1809,226,952,554,81,764,764,361
920 7,2603,1070,384,15,2060,2060,173,1052,541,120,629,629,268
920 8,2424,1156,660,45,1762,1762,73,1097,405,154,629,629,257
920 9,2653,981,396,31,2024,2024,70,1152,421,44,523,523,145
920 10,2368,1292,607,15,1898,1898,295,879,639,0,831,831,414
920 11,2499,1199,467,13,2041,2041,278,919,649,123,764,764,387
920 12,2312,1263,726,25,1679,1679,137,1018,492,219,726,726,366
921 1,2754,748,622,186,1780,1780,15,927,135,26,112,112,28
921 2,2640,856,526,103,1661,1661,9,873,200,146,187,187,148
921 3,2505,1013,635,246,1631,1631,11,920,224,205,387,387,221
921 4,2355,1131,390,78,1385,1385,11,651,447,426,465,465,432
921 5,2353,1170,637,170,1527,1527,19,858,371,347,535,535,355
921 6,2581,966,666,179,1784,1784,69,1094,181,105,416,416,109
921 7,2716,808,648,308,1820,1820,16,997,17,1,229,229,62
921 8,2640,894,663,268,1789,1789,1,1069,90,57,328,328,65
921 9,2446,1085,699,152,1627,1627,59,947,280,251,483,483,255
921 10,2352,1186,675,81,1584,1584,110,935,380,332,587,587,338
921 11,2763,750,669,261,1828,1828,9,935,54,0,149,149,10
921 12,2564,999,616,147,1817,1817,4,1146,249,95,466,466,108
922 1,2304,860,41,21,1267,1267,351,375,721,488,496,496,496
922 2,2470,833,229,20,1454,1454,253,566,550,311,312,312,312
922 3,2366,1103,311,43,1355,1355,42,595,484,452,462,462,454
922 4,2373,1056,179,4,1297,1297,144,494,576,493,495,495,495
922 5,2622,864,442,19,1605,1605,3,793,287,197,201,201,200
922 6,2749,742,516,102,1712,1712,94,867,271,78,80,80,80
922 7,2468,1005,338,14,1448,1448,3,664,407,356,361,361,358
922 8,2630,688,453,58,1678,1678,197,783,400,95,97,97,97
922 9,2375,597,338,19,1582,1582,124,618,663,171,256,256,256
922 10,2512,571,458,23,1690,1690,205,748,544,61,116,116,116
922 11,2471,691,336,20,1565,1565,246,642,555,187,204,204,204
922 12,2364,935,52,27,1269,1269,279,406,674,501,503,503,503
923 1,2077,524,47,21,1358,1358,305,325,946,464,568,568,568
923 2,2188,410,200,21,1570,1570,116,528,870,300,444,444,444
923 3,2014,354,25,25,1466,1466,222,385,1032,475,615,615,615
923 4,1970,570,62,31,1230,1230,443,186,1055,602,698,698,698
923 5,2265,493,273,31,1569,1569,79,558,782,234,362,362,362
923 6,2340,480,353,23,1662,1662,15,656,734,147,298,298,298
923 7,2007,199,27,0,1604,1604,111,482,1095,498,659,659,659
923 8,1791,437,192,49,1224,1224,323,110,1216,731,850,850,850
923 9,2175,679,41,22,1292,1292,359,325,849,468,525,525,525
923 10,2272,632,180,24,1427,1427,233,462,750,329,393,393,393
923 11,1935,384,30,30,1384,1384,291,292,1098,560,693,693,693
923 12,1849,402,122,60,1304,1304,322,195,1177,656,783,783,783
924 1,1699,318,267,22,1283,1283,198,109,1253,796,930,930,930
924 2,1409,30,30,30,1258,1258,145,147,1384,737,1271,1271,1195
924 3,1597,180,180,22,1365,1365,64,125,1312,776,1035,1035,1035
924 4,1708,78,78,42,1570,1570,137,305,1161,878,1044,1044,1028
924 5,1468,185,185,31,1235,1235,45,10,1231,648,1161,1161,1034
924 6,1457,54,54,0,1266,1266,32,99,1350,709,1191,1191,1149
924 7,1346,42,42,42,1163,1163,77,29,1321,624,1301,1301,1099
924 8,1556,45,45,21,1464,1464,303,221,1144,972,1234,1234,1214
924 9,1688,161,161,26,1432,1432,74,219,1375,803,953,953,953
924 10,1555,274,274,18,1245,1245,97,13,1192,683,1073,1073,1003
924 11,1932,93,19,5,1646,1646,4,446,1204,600,765,765,763
924 12,1763,55,55,22,1576,1576,0,362,1287,761,922,922,922
925 1,1168,120,120,21,1121,1121,412,115,1394,702,1572,1566,1068
925 2,1100,39,39,39,1116,1116,539,136,1386,623,1686,1628,1071
925 3,1001,140,140,35,993,993,540,13,1510,532,1734,1517,947
925 4,1270,69,69,19,1147,1147,232,82,1429,669,1416,1416,1086
925 5,1068,159,159,111,1010,1010,439,9,1487,613,1640,1476,957
925 6,1481,31,31,31,1407,1407,351,203,1165,937,1314,1314,1296
925 7,892,135,135,20,823,823,545,131,1400,437,1776,1337,773
925 8,960,189,189,47,921,921,527,31,1479,507,1741,1438,872
925 9,1059,47,47,31,945,945,378,47,1370,529,1606,1367,888
925 10,1140,77,77,36,1223,1223,648,45,1283,649,1735,1735,1183
925 11,1356,92,92,20,1281,1281,333,239,1271,828,1401,1401,1223
925 12,1423,104,104,20,1299,1299,221,210,1314,797,1288,1288,1237
926 1,965,92,92,25,1083,1083,792,11,1404,482,1918,1702,1108
926 2,882,193,193,24,882,882,617,55,1519,420,1831,1428,841
926 3,907,191,191,14,996,996,910,68,1393,378,2014,1582,1168
926 4,1106,105,105,48,1220,1220,696,14,1293,598,1785,1756,1183
926 5,589,37,37,8,760,760,760,98,1768,141,2219,1511,824
926 6,719,9,9,7,867,867,867,7,1656,256,2099,1552,894
926 7,689,70,70,42,825,825,825,12,1634,224,2177,1633,974
926 8,776,58,58,55,916,916,916,31,1569,314,2086,1650,994
926 9,764,252,252,24,775,775,703,153,1495,314,1930,1342,736
926 10,757,239,239,16,847,847,842,124,1487,255,2165,1490,1152
926 11,1010,9,9,9,1076,1076,641,109,1432,531,1796,1628,1036
926 12,898,65,65,45,973,973,692,9,1541,420,1878,1541,935
927 1,292,147,147,65,416,416,416,72,1598,85,2459,1499,803
927 2,377,65,65,20,592,592,592,150,1786,129,2302,1486,761
927 3,231,158,158,22,335,335,335,134,1522,0,2485,1443,717
927 4,337,259,259,42,437,437,437,292,1628,93,2585,1273,735
927 5,483,194,194,19,578,578,578,101,1754,0,2422,1466,923
927 6,148,68,68,6,246,246,246,174,1433,27,2484,1417,635
927 7,106,41,41,26,272,272,272,9,1466,172,2274,1633,789
927 8,503,51,51,22,650,650,650,14,1797,104,2356,1609,914
927 9,437,332,332,114,532,532,532,239,1714,90,2485,1327,836
927 10,198,116,116,43,294,294,294,327,1485,66,2664,1250,600
927 11,528,356,356,34,634,634,634,255,1608,122,2394,1321,919
927 12,186,126,126,13,317,317,317,58,1502,58,2395,1526,748
935 1,411,94,94,30,5859,2846,340,672,802,354,2049,982,418
935 2,420,28,28,27,6023,3012,365,625,652,306,1975,1091,489
935 3,594,38,38,38,6235,3116,407,319,407,414,1668,1050,292
935 4,275,124,124,24,6076,3088,235,685,674,155,2078,1246,355
935 5,476,40,40,30,6280,3216,372,352,372,485,1739,1164,317
935 6,351,146,146,14,6113,3113,318,608,603,235,1995,1208,373
935 7,514,207,207,31,5791,2764,388,607,852,402,2014,859,415
935 8,799,92,92,25,5994,2814,435,420,682,195,1684,755,398
935 9,673,150,150,15,5980,2876,530,501,667,322,1785,845,471
935 10,847,7,7,7,6072,2859,352,336,623,153,1604,778,312
935 11,471,28,28,25,6385,3261,259,237,259,547,1643,1198,203
935 12,359,35,35,17,6223,3212,428,484,477,338,1887,1228,360
936 1,984,252,252,29,5724,2471,292,530,705,280,1766,422,255
936 2,1026,95,95,25,5882,2579,378,407,659,123,1614,488,304
936 3,918,39,39,24,6004,2754,370,355,723,83,1596,668,336
936 4,896,205,205,67,5820,2600,422,517,783,231,1736,552,381
936 5,656,322,322,26,5760,2698,416,578,885,422,1935,719,380
936 6,1074,259,259,17,5673,2377,194,473,632,266,1768,321,153
936 7,823,334,334,32,5712,2559,373,526,867,361,1868,552,340
936 8,1028,427,427,23,5520,2299,173,325,753,171,1740,321,133
936 9,971,56,56,22,5957,2678,400,369,733,83,1592,588,349
936 10,873,140,140,22,5904,2686,473,456,801,173,1689,627,436
936 11,980,420,420,29,5360,2249,25,171,923,150,1654,434,26
936 12,799,208,208,35,5860,2691,517,527,817,252,1767,654,483
937 1,1246,242,242,91,5231,1995,53,27,829,54,1423,297,14
937 2,1481,68,68,0,5109,1762,190,89,762,202,1215,312,247
937 3,1266,165,165,31,5667,2259,48,448,456,145,1698,159,0
937 4,1294,243,243,104,5548,2152,16,328,507,215,1648,81,0
937 5,1436,180,180,100,5514,2042,148,276,440,151,1566,0,0
937 6,1292,331,331,56,5447,2083,40,230,591,202,1562,68,5
937 7,1395,260,260,41,5451,2021,145,221,520,231,1525,0,0
937 8,1071,386,386,37,5342,2173,5,149,856,56,1591,350,7
937 9,1117,406,406,23,5497,2226,85,296,689,140,1680,232,43
937 10,1525,188,188,31,5439,1934,258,188,468,161,1469,0,0
937 11,1330,163,163,105,5616,2182,8,391,431,135,1696,80,0
937 12,1299,305,305,11,5324,2003,63,110,699,147,1462,167,19
938 1,1547,17,17,17,5010,1647,80,195,789,93,1098,399,360
938 2,1672,189,189,7,5308,1753,331,34,443,199,1305,144,144
938 3,1909,90,90,9,5033,1422,28,254,601,40,991,467,467
938 4,1613,77,77,13,4969,1569,26,247,778,39,1030,440,439
938 5,1990,175,175,17,4974,1317,25,342,650,13,914,564,564
938 6,1798,220,220,0,4879,1368,76,375,650,65,870,577,577
938 7,1817,23,23,23,5164,1567,170,109,497,182,1135,319,319
938 8,1589,124,124,16,5213,1744,263,8,586,276,1250,200,200
938 9,1912,253,253,16,4873,1284,105,415,631,94,829,625,625
938 10,2030,114,114,18,5060,1367,19,274,563,30,996,513,513
938 11,1602,5,5,5,5081,1661,139,134,699,152,1138,327,327
938 12,1517,54,54,19,5106,1735,180,96,738,193,1196,307,275
939 1,2032,171,171,24,4997,1312,15,335,627,4,932,567,542
939 2,1900,368,368,42,4771,1165,205,533,530,208,715,715,587
939 3,1837,552,552,6,4595,1005,39,717,364,392,532,532,507
939 4,1959,502,502,17,4682,1000,138,668,473,302,608,608,425
939 5,2201,609,609,18,4737,871,144,745,359,364,656,656,185
939 6,2220,430,430,20,4883,1050,221,567,538,194,814,760,256
939 7,1947,697,697,35,4523,806,0,862,362,473,450,450,309
939 8,2101,634,634,27,4658,845,87,782,348,382,597,597,219
939 9,1802,400,400,21,4717,1187,137,557,477,241,685,685,654
939 10,1882,653,653,29,4528,877,0,820,346,456,453,453,397
939 11,2145,464,464,12,4813,1014,257,610,508,212,740,740,318
939 12,2078,137,137,20,5065,1342,7,291,562,17,995,544,511
940 1,2312,858,858,73,4624,613,14,627,174,521,448,448,24
940 2,2109,1006,1006,47,4385,473,9,611,41,531,255,255,41
940 3,2405,915,915,129,4639,537,46,525,145,410,433,433,14
940 4,2449,755,755,68,4782,697,115,656,304,517,589,589,15
940 5,1985,762,762,19,4493,731,39,890,282,525,434,434,241
940 6,2094,732,732,40,4581,747,0,851,253,480,527,527,163
940 7,2329,1052,1052,15,4494,414,0,444,3,356,285,285,0
940 8,2472,863,863,128,4721,590,106,546,225,423,513,513,70
940 9,2212,936,936,36,4502,550,50,610,50,525,344,344,0
940 10,2048,861,861,40,4455,621,109,768,161,612,401,401,149
940 11,2466,1006,1006,21,4616,447,119,415,144,298,408,408,23
940 12,2532,957,957,26,4698,508,176,436,223,313,491,491,103
941 1,2421,1309,1309,5,4347,142,40,169,273,84,267,145,0
941 2,2346,1216,1216,20,4388,247,24,293,155,208,203,203,0
941 3,2399,1362,1362,50,4191,4,4,37,389,107,311,0,0
941 4,2551,1268,1268,9,4261,45,45,40,251,118,451,68,49
941 5,2293,1356,1356,128,4065,21,21,28,381,239,264,0,0
941 6,2256,1444,1444,101,4114,38,38,117,387,227,190,40,15
941 7,2464,1269,1269,101,4169,31,31,33,351,149,405,45,0
941 8,2335,1276,1276,47,4031,102,102,28,399,242,340,67,67
941 9,2408,1153,1153,48,4472,299,36,311,127,223,283,283,5
941 10,2683,1331,1331,27,4475,161,110,26,110,68,531,251,133
941 11,2238,1304,1304,22,4256,212,156,285,240,241,83,83,83
941 12,2587,1344,1344,58,4375,136,72,16,193,50,444,141,128
942 1,2785,864,864,17,4155,272,272,450,413,133,832,247,0
942 2,2871,908,908,53,4284,222,222,382,314,93,835,117,0
942 3,2845,985,985,34,4328,153,153,302,234,40,777,77,0
942 4,2616,922,922,44,4001,247,247,378,489,29,702,392,0
942 5,2615,996,996,32,4073,157,157,305,406,5,650,314,0
942 6,2533,1185,1185,43,4164,22,22,118,319,59,494,124,0
942 7,2567,851,851,102,3890,363,363,454,609,91,759,476,8
942 8,2687,912,912,47,4073,227,227,391,435,57,739,327,0
942 9,2540,948,948,14,3935,279,279,355,543,0,664,376,0
942 10,2773,1002,1002,8,4256,130,130,303,260,0,729,157,0
942 11,2660,836,836,23,4011,310,310,465,517,122,796,388,0
942 12,2683,997,997,44,4149,135,135,309,341,0,685,268,0
943 1,2454,694,694,46,3831,505,505,614,725,251,917,580,0
943 2,2211,441,441,77,3664,783,494,442,603,523,1146,808,200
943 3,2491,304,304,17,4056,827,512,302,720,687,1364,663,469
943 4,2221,328,328,58,3734,856,429,329,525,623,1287,817,311
943 5,2416,560,560,17,3849,605,605,570,774,380,1051,603,97
943 6,2325,578,578,21,3734,644,635,579,745,382,1034,698,63
943 7,2135,298,298,121,3645,911,363,300,468,661,1246,896,343
943 8,2297,435,435,36,3770,748,531,438,631,514,1179,728,204
943 9,2408,720,720,97,3762,528,528,595,758,247,891,629,0
943 10,2324,316,316,20,3854,826,509,328,590,624,1297,740,334
943 11,2523,694,694,26,3912,465,465,607,665,248,920,503,41
943 12,2404,274,274,20,3968,861,493,280,637,696,1368,721,436
944 1,2091,196,196,60,3643,1002,282,197,377,761,1329,962,445
944 2,1969,207,207,12,3692,1396,68,205,257,821,1713,1281,452
944 3,2042,94,94,8,3634,1098,214,95,290,861,1407,1040,547
944 4,2168,172,172,20,3745,998,341,172,412,779,1424,919,470
944 5,2271,54,54,19,3907,1080,286,63,488,812,1575,934,381
944 6,1990,158,158,13,3542,1071,203,159,312,814,1291,1053,487
944 7,2374,173,173,17,3978,965,385,173,593,804,1476,808,439
944 8,2180,226,226,88,3930,1388,2,233,496,602,1884,1227,213
944 9,1804,126,126,14,3476,1371,25,127,25,1047,1521,1317,679
944 10,2053,185,185,19,3776,1366,59,190,335,759,1750,1232,370
944 11,2078,276,276,126,3588,952,322,276,432,694,1223,950,368
944 12,2121,195,195,6,3855,1370,23,202,415,684,1810,1217,290
945 1,1694,376,376,19,3494,1677,25,453,312,851,1818,1587,666
945 2,1864,249,249,38,3731,1786,276,604,542,575,2064,1643,475
945 3,1730,363,363,11,3495,1589,22,363,224,894,1739,1505,656
945 4,1774,228,228,62,3639,1806,235,577,507,650,2025,1679,563
945 5,1844,367,367,26,3663,1666,132,475,399,693,1921,1540,501
945 6,1710,139,139,0,3604,1897,285,482,574,610,2081,1774,636
945 7,1819,159,159,0,3715,1876,339,527,608,549,2129,1733,536
945 8,2069,357,357,14,3859,1531,106,365,472,592,1940,1372,294
945 9,2121,269,269,57,3882,1443,30,277,460,622,1886,1281,264
945 10,1697,243,243,16,3550,1800,169,567,458,726,1965,1691,639
945 11,1945,363,363,30,3727,1546,63,363,362,696,1863,1412,425
945 12,1967,273,273,0,3833,1761,310,593,590,493,2106,1600,375
946 1,1620,104,104,14,3522,1941,273,426,586,621,2071,1831,724
946 2,1777,271,271,14,3804,2328,439,113,1048,143,2550,2170,837
946 3,1711,118,118,0,3613,1916,307,465,596,587,2103,1791,639
946 4,1835,18,18,18,3779,2018,492,409,764,408,2283,1863,591
946 5,1599,325,325,26,3640,2386,443,13,1017,274,2515,2250,730
946 6,1434,222,222,9,3444,2297,580,67,872,474,2338,2190,781
946 7,1476,132,132,7,3460,2205,496,159,794,498,2267,2098,869
